Date,King,Pierce,Snohomish,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Yakima,Unassigned
4/2,2711,433,1317,20,1,136,19,7,122,1,17,7,1,45,0,68,3,119,19,92,9,8,12,1,11,4,0,1,6,150,1,177,5,52,0,8,127,10,238,1008
4/3,2865,493,1398,23,2,147,22,7,131,1,17,10,1,49,0,74,3,121,20,95,9,8,12,1,12,7,0,1,7,158,1,188,5,57,1,9,129,10,281,1216
4/4,3158,536,1486,26,3,166,28,8,145,1,17,10,1,59,0,82,6,132,22,102,11,8,16,1,14,9,0,1,9,159,1,199,5,62,2,12,142,11,316,1018
4/5,3295,590,1522,26,4,172,29,8,154,1,17,10,1,64,0,85,6,133,25,108,12,10,16,1,15,9,0,1,9,162,2,203,5,66,2,14,183,12,346,1066
4/6,3460,644,1596,29,4,179,32,8,161,1,20,10,1,75,0,90,6,143,27,118,13,11,16,1,17,10,0,1,11,165,2,209,5,74,2,15,222,12,377,915
4/7,3668,759,1651,30,4,190,35,10,186,1,20,12,1,76,0,95,7,149,27,117,15,11,17,1,17,12,0,1,12,169,2,220,6,77,2,17,236,12,394,838
4/8,3884,808,1702,30,4,215,41,11,194,1,21,13,1,93,0,99,7,151,28,122,13,11,18,1,18,12,0,1,12,173,2,230,6,81,2,16,240,12,427,908
4/9,4047,831,1743,30,4,234,44,11,208,1,21,16,1,107,0,100,8,154,28,128,13,12,18,1,18,14,1,1,12,174,2,245,6,80,2,18,247,12,447,848
4/10,4241,884,1798,36,5,246,52,12,217,1,22,16,1,112,0,111,11,154,28,129,13,12,17,2,19,15,1,1,13,173,3,247,6,81,2,20,252,11,496,764
4/11,4422,898,1844,37,5,250,54,12,217,1,23,18,1,120,0,115,11,156,28,129,13,14,17,2,19,14,1,1,13,176,3,260,7,81,2,21,258,11,538,619
4/12,4517,931,1876,39,6,261,59,12,221,1,24,20,1,129,0,121,11,156,28,128,14,14,17,2,19,15,1,1,13,195,3,266,7,81,2,21,258,11,573,484
4/13,4612,963,1916,39,6,265,59,12,229,1,24,29,1,138,0,121,11,157,28,131,14,14,19,2,19,15,1,1,13,198,3,270,7,82,2,23,261,11,614,383
4/14,4676,988,1972,39,8,272,58,13,232,1,25,34,1,142,0,121,12,159,28,131,14,14,19,2,20,15,1,1,13,207,3,274,7,81,2,24,263,11,627,273
4/15,4796,1016,2020,39,10,284,62,15,242,1,26,32,1,156,0,128,12,158,28,132,14,16,19,2,21,14,1,1,13,213,3,282,7,86,2,26,262,11,667,334
4/16,4865,1031,2032,40,11,293,64,14,246,1,27,30,1,167,0,132,12,157,28,133,14,16,19,2,22,14,1,2,15,222,3,290,7,89,2,26,269,12,692,444
4/17,5024,1074,2060,40,12,304,65,14,264,1,29,31,1,177,0,137,12,157,29,136,14,16,20,2,22,14,1,2,15,230,3,298,8,92,2,27,273,12,748,436
4/18,5135,1109,2101,41,12,314,71,14,266,1,29,32,1,187,0,141,12,157,28,138,14,16,21,2,22,14,2,2,15,238,3,302,8,94,2,28,275,13,771,159
4/19,5259,1127,2125,43,13,334,77,14,275,1,30,59,1,198,0,142,12,158,28,138,14,16,21,2,22,14,3,2,14,252,3,308,8,94,2,31,276,13,805,151
4/20,5360,1148,2152,44,14,338,78,14,281,1,34,61,1,207,0,141,12,161,28,140,14,16,21,2,22,14,3,2,14,255,3,311,8,94,2,34,277,13,840,122
4/21,5427,1176,2188,43,14,348,87,14,284,1,35,61,1,212,0,144,12,160,28,140,14,16,22,2,22,16,3,2,14,271,3,317,8,95,2,35,280,13,851,133
4/22,5532,1192,2216,45,16,365,88,14,291,1,35,63,1,233,0,146,12,160,28,144,14,16,22,2,22,16,4,2,14,280,3,320,9,96,2,41,282,13,879,134
4/23,5637,1212,2243,45,16,383,89,14,293,1,36,69,1,239,0,149,12,160,28,143,14,16,25,2,22,16,4,2,14,283,3,330,9,98,2,48,282,14,923,100
4/24,5739,1235,2297,46,17,399,90,15,296,1,39,70,1,250,0,150,12,161,28,144,14,16,29,2,22,17,4,2,14,287,3,345,10,101,2,50,284,14,976,137
4/25,5863,1244,2311,46,17,405,91,15,297,1,39,72,1,251,0,150,12,160,28,144,14,16,29,2,22,19,4,2,14,299,3,347,9,100,2,52,288,14,1015,123
4/26,5945,1263,2332,46,17,409,93,15,308,1,39,75,1,256,0,152,12,164,28,147,14,16,29,2,23,20,4,2,14,305,3,347,9,100,2,55,287,14,1034,103
4/27,6001,1293,2365,46,17,415,96,17,313,1,39,75,1,265,0,155,12,168,28,148,15,16,29,2,23,21,4,2,14,308,3,350,9,100,2,57,293,14,1046,79
4/28,6103,1306,2389,47,17,422,98,18,317,1,41,77,1,276,0,155,12,168,28,148,14,16,29,2,23,21,4,2,14,322,3,353,9,104,2,62,294,14,1082,76
4/29,6207,1322,2433,47,18,430,108,18,321,1,45,78,1,279,0,159,12,168,28,149,14,17,29,2,23,22,4,2,14,329,3,357,9,105,2,67,302,14,1128,60
4/30,6274,1339,2453,47,18,461,113,18,327,1,47,79,1,309,0,163,12,169,28,150,15,17,29,2,25,21,4,2,14,337,3,367,9,106,2,76,305,14,1203,77
5/1,6351,1376,2493,48,18,494,114,18,328,1,53,82,1,348,0,169,12,169,28,150,15,17,29,2,25,21,4,2,14,345,3,366,9,111,2,87,312,14,1272,100
5/2,6449,1393,2509,48,18,518,118,19,328,1,53,82,1,363,0,170,12,169,28,150,15,18,29,2,26,21,4,2,14,354,3,369,9,111,2,88,316,14,1296,63
5/3,6545,1414,2537,48,18,532,120,18,336,1,59,84,1,377,0,180,12,169,28,150,14,18,29,2,26,21,4,2,14,357,3,372,9,113,2,92,317,14,1372,52
5/4,6621,1433,2549,48,18,537,125,19,337,1,60,84,1,379,0,180,12,168,28,150,14,17,29,2,26,21,4,2,14,364,3,373,9,113,2,93,318,14,1389,37
